company_dba,address_concat,latitude,longitude,rating,total_ratings,marta_density_score,user_rating_score,viability_score
,2250 Marietta Blvd nan nan Atlanta GA 30318,33.805857227128,-84.463820240026,,,21105.682968764595,0.0,0.0
,349 CLEVELAND AVE nan nan ATLANTA GA 30315,33.68154610213,-84.400916716271,,,30535.721875196836,0.0,0.0
,1380 W MARIETTA ST ATLANTA GA 30318,33.785929462773,-84.433699429237,,,9642.471508171046,0.0,0.0
,3826 Crosby DR nan nan Atlanta GA 30331,33.772491134597,-84.512154378235,,,2513.9064350291783,0.0,0.0
,324 CLIMAX Street Atlanta GA 30315,33.721260439475,-84.377551071522,,,8471.271417214242,0.0,0.0
,2053 C METROPOLITAN PARKWAY nan PKWY Atlanta GA 30315,33.699600009108,-84.408499991711,,,19863.91883070671,0.0,0.0
TAQUERIA EL MARIACHI LLC,1990 PERKERSON RD SW nan nan ATLANTA GA 30310,33.700474744523,-84.416933862687,,,6412.4912707605135,0.0,0.0
,2960 CAMPBELLTON Road Atlanta GA 30311,33.696602682442,-84.484793666976,,,11762.285585346854,0.0,0.0
,788 West Marietta St NW nan nan Atlanta GA 30318,33.779754305156,-84.414047889604,,,15418.997128669256,0.0,0.0
,2179 VERBENA ST Atlanta GA 30314,33.755489743201,-84.459978036797,,,12745.439588491532,0.0,0.0
,1990 Perkerson Rd Sw nan nan Atlanta GA 30310,33.700474744523,-84.416933862687,,,6412.4912707605135,0.0,0.0
,847 mcdaniel st nan nan atlanta GA 30310,33.731818787629,-84.401910977625,,,40536.13449146433,0.0,0.0
,1990 Perkerson Rd SW nan nan Atlanta GA 30310,33.700474744523,-84.416933862687,,,6412.4912707605135,0.0,0.0
,1990 Perkerson RD Atlanta GA 30310,33.700474744523,-84.416933862687,,,6412.4912707605135,0.0,0.0
,1990 Perkinson Rd SW nan RD Atlanta GA 30310,33.700474744523,-84.416933862687,,,6412.4912707605135,0.0,0.0
,816 Cascade  nan AVE Atlanta GA 30310,33.732919247697,-84.437629033084,,,31652.530872457788,0.0,0.0
FowlPlayAtl LLC,1475 ATLANTA INDUSTRIAL WAY Atlanta GA 30331,33.796600212248,-84.492872564352,,,3685.5188473793887,0.0,0.0
Lindsey Catering,1990 Perkerson nan RD atlanta GA 30310,33.700474744523,-84.416933862687,,,6412.4912707605135,0.0,0.0
,1265 LEE Street Atlanta GA 30310,33.720616457854,-84.424564831157,,,7081.153611360467,0.0,0.0
